DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35204228,1456,85.1,125851.54640896803,675.0
35204229,697,88.3,47611.39861360193,490.0
35204230,1480,79.3,129446.59407641432,955.0
35204231,879,64.2,62963.1560081392,315.0
35204232,1095,79.0,490297.1000134471,285.0
35204233,357,54.7,43639.75125634021,110.0
35204234,3787,60.2,861573.7983489985,1840.0
35204235,439,55.0,157860.09421154286,165.0
35204236,702,60.5,122555.30333770822,205.0
35204237,511,71.2,70313.31570245158,160.0
35204238,716,73.7,255223.65097825543,245.0
35204239,2011,49.7,613294.7907365895,485.0
35204240,1408,47.1,74228.68225652057,585.0
35204241,4453,61.2,635490.8596829457,1495.0
35204242,1678,61.1,57622.43695954171,705.0
35204243,1327,63.3,93349.92507216865,550.0
35204244,372,50.0,116256.68368163091,135.0
35204246,2349,,67979.53306909294,1265.0
35204247,1516,67.5,242864.04807804563,790.0
35204248,248,22.0,31789.927831386663,160.0
35204249,1984,63.8,154829.18338543025,685.0
35204250,396,61.9,159847.34678080422,170.0
35204251,535,73.9,208190.6061022686,200.0
35204252,499,65.2,217045.76169274686,105.0
35204253,237,65.9,100130.43289089948,85.0
35204254,726,56.1,39452.94405774848,220.0
35204255,770,65.2,3531.4782233533983,230.0
35204256,327,78.3,87457.65404028786,120.0
35204257,1115,64.5,471819.47743378597,445.0
35204259,4896,63.8,313659.1046979112,1530.0
35204260,3643,48.7,456110.7188456564,1275.0
35204261,1050,61.1,56051.01390623976,345.0
35204262,399,61.0,110231.91053435545,115.0
35204263,442,50.0,166974.42488140313,120.0
35204266,171,43.5,38630.075195352525,45.0
35204267,2285,63.9,506585.2225663765,650.0
35204268,575,25.2,56887.019190501516,320.0
35204269,6124,52.8,252476.76964435243,1835.0
35204271,987,47.0,440636.9157629622,365.0
35204272,2922,50.3,193095.7437991328,1215.0
35204274,575,28.4,26768.66068088256,390.0
35204275,538,,48033.52498943482,200.0
35204276,516,55.2,159284.1770735697,185.0
35204277,1073,56.0,354184.47586624534,385.0
35204278,477,60.0,969033.7707359212,175.0
35204279,606,46.7,245894.4775872152,180.0
35204280,416,61.1,119592.98514401687,130.0
35204281,666,58.6,91254.30246040212,190.0
35204282,802,66.2,225285.53423435803,215.0
35204283,622,63.6,108672.30767293418,175.0
35204284,3144,43.4,126013.20710589718,1125.0
35204285,562,65.6,85690.10143777264,155.0
35204286,604,59.4,119186.8351057753,155.0
35204287,734,37.4,131356.22912388653,465.0
35204288,513,61.4,153304.00544385877,175.0
35204289,495,71.2,135370.21955158727,180.0
35204290,1396,47.5,155152.9941813293,580.0
35204291,823,71.6,164006.42447949038,250.0
35204292,689,54.1,106239.5316482288,245.0
35204293,451,59.7,251565.8755994346,155.0
35204294,522,62.1,139762.5900990518,170.0
35204295,445,56.0,83357.81893206517,145.0
35204296,702,51.8,138318.6822570777,195.0
35204297,462,50.6,107310.92423203363,135.0
35204298,1251,53.3,107289.61939194391,485.0
35204299,408,60.9,95330.98916697763,135.0
35204300,493,53.1,84886.0091055979,150.0
35204301,432,60.6,204744.74740336885,145.0
35204302,527,65.2,125440.31566262203,175.0
35204303,464,53.9,163528.75181348412,170.0
35204304,470,66.2,142808.7431885281,160.0
35204305,1219,66.1,94325.21856971439,395.0
35204306,3549,61.2,154239.2459632236,1215.0
35204307,1146,46.0,27340.170234570636,400.0
35204308,1305,63.8,175753.0539854773,570.0
35204309,406,40.6,96227.6920677094,130.0
35204310,2541,60.6,64276.62591307472,925.0
35204311,748,51.5,20339.976724706845,355.0
35204312,1415,66.5,20072.138305733915,655.0
35204313,634,48.7,268640.5737425163,250.0
35204314,1406,43.0,55923.22140261806,770.0
35204315,566,52.0,144899.7740634336,220.0
35204316,2292,62.1,269813.4922441223,900.0
35204317,1980,55.9,33939.25153634185,1040.0
35204318,613,57.9,173963.29343273691,220.0
35204319,591,47.0,225303.54137408693,205.0
35204320,921,35.1,237840.72792558468,520.0
35204321,1310,65.1,82957.30354362249,790.0
35204322,495,57.3,179351.83076612971,170.0
35204323,519,61.2,90483.9858542976,205.0
35204324,541,58.7,154692.05125198732,185.0
35204325,633,57.1,221274.9413701745,210.0
35204326,729,50.7,135815.15723568486,325.0
35204327,437,47.9,143996.8037721466,155.0
35204328,606,47.4,58365.61667259439,280.0
35204329,2745,53.2,391215.4491955561,830.0
35204330,1384,50.7,69389.75583884072,420.0
35204331,1138,48.0,48871.1067220362,315.0
35204332,435,74.6,229871.76449853403,125.0
35204333,3109,47.9,130122.62943876961,910.0
35204334,347,56.9,130952.40686176305,110.0
35204335,657,39.0,35202.964335647855,425.0
35204336,517,55.4,133229.42862852852,160.0
35204337,557,40.0,43656.81877644858,200.0
35204338,403,79.4,147898.198578261,130.0
35204339,873,52.7,502492.3026547529,370.0
35204340,631,60.4,185619.97169514062,285.0
35204341,349,23.3,111380.74601960323,200.0
35204342,552,63.2,637962.2511565046,185.0
35204343,572,50.0,255779.24554189862,200.0
35204344,703,54.0,187359.9732030059,350.0
