id,DAUID,Division code,Division name,Population,Total population 15 years and over by labour force activity,Employed,Unemployed,Employment rate,Unemployment rate
82,35190082,3519,York,469.0,385.0,265.0,0.0,68.8,0.0
83,35190083,3519,York,532.0,440.0,350.0,20.0,79.5,5.4
84,35190084,3519,York,640.0,545.0,370.0,10.0,67.9,2.6
85,35190085,3519,York,750.0,590.0,440.0,20.0,74.6,4.4
86,35190086,3519,York,239.0,200.0,175.0,0.0,87.5,0.0
87,35190087,3519,York,369.0,290.0,220.0,0.0,75.9,0.0
88,35190088,3519,York,1288.0,985.0,685.0,40.0,69.5,5.5
89,35190089,3519,York,404.0,310.0,210.0,20.0,67.7,8.7
90,35190090,3519,York,528.0,375.0,285.0,10.0,76.0,3.3
91,35190091,3519,York,314.0,245.0,175.0,0.0,71.4,0.0
92,35190092,3519,York,434.0,400.0,295.0,25.0,73.8,7.8
93,35190093,3519,York,486.0,415.0,320.0,25.0,77.1,7.2
94,35190094,3519,York,755.0,600.0,430.0,30.0,71.7,6.5
95,35190095,3519,York,329.0,290.0,185.0,0.0,63.8,0.0
96,35190096,3519,York,382.0,305.0,190.0,10.0,62.3,5.1
97,35190097,3519,York,542.0,435.0,265.0,15.0,60.9,5.4
98,35190098,3519,York,559.0,475.0,365.0,15.0,76.8,4.0
99,35190099,3519,York,524.0,370.0,260.0,0.0,70.3,0.0
100,35190100,3519,York,453.0,395.0,320.0,0.0,81.0,0.0
101,35190101,3519,York,4171.0,3150.0,2405.0,120.0,76.3,4.7
102,35190102,3519,York,479.0,390.0,270.0,25.0,69.2,8.5
103,35190103,3519,York,965.0,835.0,635.0,30.0,76.0,4.5
104,35190104,3519,York,454.0,425.0,280.0,15.0,65.9,5.1
105,35190105,3519,York,663.0,510.0,400.0,20.0,78.4,4.7
106,35190106,3519,York,584.0,465.0,375.0,20.0,80.6,5.1
107,35190107,3519,York,671.0,545.0,360.0,30.0,66.1,7.7
108,35190108,3519,York,654.0,465.0,300.0,10.0,64.5,3.3
109,35190109,3519,York,391.0,325.0,210.0,25.0,64.6,10.6
110,35190110,3519,York,463.0,335.0,235.0,10.0,70.1,4.1
111,35190111,3519,York,763.0,660.0,455.0,15.0,68.9,3.2
112,35190112,3519,York,358.0,270.0,210.0,20.0,77.8,8.7
113,35190113,3519,York,470.0,375.0,265.0,10.0,70.7,3.6
114,35190114,3519,York,1034.0,735.0,530.0,35.0,72.1,6.2
115,35190115,3519,York,1123.0,825.0,695.0,15.0,84.2,2.1
117,35190117,3519,York,619.0,485.0,340.0,40.0,70.1,10.4
118,35190118,3519,York,539.0,370.0,220.0,50.0,59.5,18.5
119,35190119,3519,York,821.0,615.0,415.0,15.0,67.5,3.5
120,35190120,3519,York,385.0,295.0,240.0,10.0,81.4,4.0
121,35190121,3519,York,1143.0,950.0,630.0,60.0,66.3,8.7
122,35190122,3519,York,855.0,725.0,515.0,20.0,71.0,3.7
123,35190123,3519,York,630.0,520.0,365.0,10.0,70.2,2.7
124,35190124,3519,York,504.0,415.0,370.0,15.0,89.2,3.9
125,35190125,3519,York,256.0,200.0,170.0,10.0,85.0,5.6
126,35190126,3519,York,452.0,315.0,225.0,10.0,71.4,4.3
127,35190127,3519,York,684.0,540.0,435.0,20.0,80.6,4.4
128,35190128,3519,York,557.0,470.0,315.0,15.0,67.0,4.5
129,35190129,3519,York,755.0,640.0,450.0,15.0,70.3,3.3
130,35190130,3519,York,458.0,310.0,160.0,25.0,51.6,13.2
131,35190131,3519,York,577.0,485.0,340.0,25.0,70.1,6.8
132,35190132,3519,York,462.0,360.0,210.0,10.0,58.3,4.5
133,35190133,3519,York,600.0,310.0,155.0,10.0,50.0,6.1
136,35190136,3519,York,636.0,425.0,325.0,0.0,76.5,0.0
137,35190137,3519,York,622.0,555.0,255.0,15.0,45.9,5.6
138,35190138,3519,York,498.0,445.0,295.0,15.0,66.3,4.9
139,35190139,3519,York,361.0,215.0,180.0,0.0,83.7,0.0
140,35190140,3519,York,421.0,355.0,260.0,10.0,73.2,3.8
141,35190141,3519,York,393.0,300.0,255.0,10.0,85.0,3.8
142,35190142,3519,York,408.0,355.0,235.0,0.0,66.2,0.0
143,35190143,3519,York,547.0,425.0,330.0,40.0,77.6,10.8
144,35190144,3519,York,507.0,395.0,310.0,15.0,78.5,4.6
145,35190145,3519,York,661.0,560.0,445.0,15.0,79.5,3.3
146,35190146,3519,York,372.0,295.0,195.0,20.0,66.1,9.5
147,35190147,3519,York,1947.0,1470.0,1105.0,80.0,75.2,6.8
148,35190148,3519,York,381.0,275.0,205.0,15.0,74.5,6.8
149,35190149,3519,York,512.0,380.0,265.0,15.0,69.7,5.3
150,35190150,3519,York,352.0,290.0,225.0,0.0,77.6,0.0
151,35190151,3519,York,493.0,375.0,245.0,25.0,65.3,9.1
152,35190152,3519,York,525.0,415.0,255.0,15.0,61.4,5.5
153,35190153,3519,York,1184.0,890.0,610.0,30.0,68.5,4.7
154,35190154,3519,York,887.0,645.0,455.0,20.0,70.5,4.2
155,35190155,3519,York,561.0,360.0,240.0,15.0,66.7,5.8
157,35190157,3519,York,753.0,595.0,385.0,10.0,64.7,2.6
158,35190158,3519,York,959.0,725.0,540.0,0.0,74.5,0.0
159,35190159,3519,York,406.0,370.0,260.0,15.0,70.3,5.5
160,35190160,3519,York,554.0,430.0,290.0,0.0,67.4,0.0
161,35190161,3519,York,593.0,465.0,375.0,20.0,80.6,5.1
162,35190162,3519,York,1382.0,1105.0,785.0,40.0,71.0,4.9
163,35190163,3519,York,542.0,445.0,360.0,20.0,80.9,5.2
164,35190164,3519,York,654.0,495.0,360.0,10.0,72.7,2.7
165,35190165,3519,York,438.0,335.0,200.0,10.0,59.7,4.7
166,35190166,3519,York,616.0,520.0,375.0,20.0,72.1,5.1
167,35190167,3519,York,715.0,565.0,425.0,10.0,75.2,2.3
168,35190168,3519,York,673.0,570.0,455.0,35.0,79.8,7.2
170,35190170,3519,York,386.0,325.0,235.0,25.0,72.3,9.6
175,35190175,3519,York,615.0,480.0,315.0,0.0,65.6,0.0
176,35190176,3519,York,662.0,515.0,360.0,25.0,69.9,6.5
177,35190177,3519,York,324.0,255.0,215.0,10.0,84.3,4.7
178,35190178,3519,York,466.0,380.0,275.0,15.0,72.4,5.3
179,35190179,3519,York,513.0,425.0,245.0,10.0,57.6,3.9
180,35190180,3519,York,933.0,715.0,505.0,15.0,70.6,2.9
181,35190181,3519,York,603.0,455.0,285.0,0.0,62.6,0.0
182,35190182,3519,York,1110.0,770.0,430.0,15.0,55.8,3.4
183,35190183,3519,York,757.0,605.0,395.0,15.0,65.3,3.7
184,35190184,3519,York,1012.0,725.0,520.0,40.0,71.7,7.2
185,35190185,3519,York,15120.0,10760.0,7555.0,415.0,70.2,5.2
186,35190186,3519,York,1220.0,1020.0,770.0,30.0,75.5,3.8
187,35190187,3519,York,318.0,290.0,235.0,10.0,81.0,4.2
188,35190188,3519,York,739.0,580.0,435.0,25.0,75.0,5.4
189,35190189,3519,York,664.0,515.0,395.0,10.0,76.7,2.5
192,35190192,3519,York,970.0,790.0,555.0,20.0,70.3,3.5
195,35190195,3519,York,557.0,435.0,265.0,10.0,60.9,3.6
196,35190196,3519,York,776.0,650.0,435.0,55.0,66.9,11.2
197,35190197,3519,York,449.0,350.0,240.0,15.0,68.6,6.0
199,35190199,3519,York,454.0,365.0,145.0,20.0,39.7,12.5
200,35190200,3519,York,480.0,380.0,240.0,25.0,63.2,9.4
202,35190202,3519,York,561.0,495.0,355.0,0.0,71.7,0.0
205,35190205,3519,York,343.0,315.0,165.0,20.0,52.4,10.5
207,35190207,3519,York,1055.0,910.0,530.0,15.0,58.2,2.8
208,35190208,3519,York,625.0,510.0,365.0,35.0,71.6,8.9
209,35190209,3519,York,314.0,245.0,185.0,10.0,75.5,5.3
210,35190210,3519,York,826.0,715.0,420.0,30.0,58.7,6.7
211,35190211,3519,York,617.0,565.0,330.0,20.0,58.4,5.7
212,35190212,3519,York,572.0,505.0,245.0,10.0,48.5,3.9
213,35190213,3519,York,445.0,360.0,205.0,0.0,56.9,0.0
214,35190214,3519,York,696.0,635.0,385.0,35.0,60.6,8.4
215,35190215,3519,York,342.0,290.0,195.0,0.0,67.2,0.0
216,35190216,3519,York,500.0,420.0,255.0,20.0,60.7,7.3
217,35190217,3519,York,422.0,345.0,230.0,15.0,66.7,6.1
218,35190218,3519,York,1054.0,870.0,445.0,40.0,51.1,8.2
219,35190219,3519,York,299.0,290.0,115.0,20.0,39.7,14.3
220,35190220,3519,York,638.0,560.0,370.0,0.0,66.1,0.0
221,35190221,3519,York,592.0,520.0,260.0,15.0,50.0,5.5
222,35190222,3519,York,914.0,725.0,535.0,10.0,73.8,1.8
223,35190223,3519,York,423.0,380.0,245.0,10.0,64.5,3.9
224,35190224,3519,York,625.0,500.0,285.0,10.0,57.0,3.4
225,35190225,3519,York,415.0,380.0,270.0,0.0,71.1,0.0
226,35190226,3519,York,286.0,245.0,155.0,20.0,63.3,11.8
227,35190227,3519,York,553.0,470.0,355.0,20.0,75.5,5.3
228,35190228,3519,York,600.0,515.0,320.0,0.0,62.1,0.0
229,35190229,3519,York,501.0,455.0,265.0,10.0,58.2,3.7
230,35190230,3519,York,432.0,250.0,145.0,10.0,58.0,6.7
235,35190235,3519,York,577.0,490.0,260.0,20.0,53.1,7.3
236,35190236,3519,York,2472.0,1930.0,1325.0,25.0,68.7,1.9
237,35190237,3519,York,270.0,250.0,185.0,10.0,74.0,5.1
238,35190238,3519,York,418.0,370.0,290.0,0.0,78.4,0.0
239,35190239,3519,York,668.0,545.0,400.0,0.0,73.4,0.0
240,35190240,3519,York,457.0,400.0,270.0,10.0,67.5,3.5
241,35190241,3519,York,569.0,520.0,305.0,45.0,58.7,12.7
242,35190242,3519,York,606.0,515.0,380.0,10.0,73.8,2.6
243,35190243,3519,York,770.0,720.0,460.0,25.0,63.9,5.2
244,35190244,3519,York,326.0,285.0,185.0,15.0,64.9,7.1
245,35190245,3519,York,382.0,350.0,250.0,10.0,71.4,3.8
246,35190246,3519,York,406.0,375.0,245.0,0.0,65.3,0.0
247,35190247,3519,York,670.0,605.0,380.0,45.0,62.8,10.6
248,35190248,3519,York,610.0,545.0,330.0,20.0,60.6,5.6
252,35190252,3519,York,861.0,685.0,505.0,20.0,73.7,3.8
253,35190253,3519,York,318.0,230.0,175.0,10.0,76.1,5.6
254,35190254,3519,York,493.0,430.0,280.0,0.0,65.1,0.0
255,35190255,3519,York,424.0,355.0,240.0,10.0,67.6,4.2
256,35190256,3519,York,701.0,585.0,310.0,20.0,53.0,6.1
257,35190257,3519,York,2147.0,1605.0,960.0,45.0,59.8,4.5
